IMAGE,MOS,psnr,ssim,ms_ssim,fsim,vif,pieapp,lpips,topiq_fr,dists,wadiqam_fr,ckdn_imagenet,ahiq,ckdn,cw_ssim,deepdc,gmsd,mad,nlpd,psnry,stlpips,vsi,dmm,ckdn_fixed,ckdn_p0,ckdn_p1
IMG_02_AWGN_5,9.25526465498132,10.514889,0.351784783557407,0.771555115221167,0.8072404,0.20708674,5.1247225,0.61201525,0.29189155,0.5101155,-0.12258634,0.021813087,-0.016066238,0.43499726,0.925672722944881,0.45861417,0.16609934,234.575957582783,0.560698,14.139689,0.7367408,0.888755391465123,21.82274,1.4791102e-09,0.1606333,8.6060616e-05
IMG_02_AWGN_6,4.19106024966421,8.615231,0.28982910820491,0.68713526206573,0.76866055,0.16118546,5.701802,0.6616077,0.27251717,0.54451025,-0.12509234,0.0018591887,-0.047187824,0.41047427,0.846354561442055,0.51635855,0.19515991,254.191339854301,0.6587891,12.383783,0.75563407,0.858426557763685,34.040577,4.2139436e-25,0.10248704,3.8357584e-09
IMG_03_AWGN_1,77.8061153392852,39.185467,0.9946280613658,0.999283985508414,0.99933124,0.97776115,0.09546085,0.0018349723,0.91966736,0.0054904222,0.0045090667,0.9566472,0.63911813,0.5799773,0.99996176681113,0.00055122375,0.0010700478,4.13622591727157,0.029472683,42.596416,0.002021541,0.99969066165818,0.0025973185,0.9997328,0.96082854,0.8538565
IMG_03_AWGN_2,64.3253586883729,27.407001,0.949880587222354,0.992813216562077,0.99133646,0.82301474,0.5263993,0.05084551,0.8054946,0.07337761,-0.0069174827,0.89334196,0.5397758,0.5520927,0.999522444791324,0.0239864,0.0097882,65.0666663357585,0.1031683,30.882227,0.105921395,0.996277233644848,0.18775485,0.98717284,0.929109,0.78886133
IMG_03_AWGN_3,40.3271700065689,21.615932,0.872822107536305,0.980165669664473,0.9717448,0.6330563,1.2025827,0.14707455,0.5452444,0.1573829,-0.033054575,0.72993416,0.40967113,0.5087035,0.998206092793371,0.08222854,0.02808612,110.618958581028,0.18370375,25.144302,0.32711828,0.987680955377109,0.98553526,0.5098678,0.7816791,0.64770633
IMG_03_AWGN_4,29.6704657362378,15.823851,0.714614463643458,0.944324601915063,0.92297167,0.42398834,2.4643857,0.29585716,0.38014716,0.28465044,-0.08859943,0.4639564,0.24029918,0.44294062,0.991871501187896,0.21612006,0.073524304,156.399823369012,0.325132,19.32749,0.5516694,0.96197111842782,2.8140192,0.24094129,0.41961387,0.28535673
IMG_03_AWGN_5,17.9432764057464,11.502005,0.539292580667494,0.873912536371096,0.85173965,0.27362216,4.2784424,0.4739943,0.30374914,0.3937164,-0.1113268,0.14920324,0.0771425,0.38784286,0.963016820260741,0.42691267,0.13238789,193.51124977466,0.49374217,15.022173,0.62875473,0.924858279110463,8.623775,7.3270145e-05,0.15364666,6.67465e-05
IMG_03_AWGN_6,4.59252896853129,9.622461,0.44985575350887,0.79925699083768,0.8027926,0.19956654,5.354319,0.5985626,0.27503535,0.44995934,-0.114517435,0.017533856,-0.0022705959,0.33962652,0.905394401269104,0.5305748,0.15930259,209.683161975829,0.6102133,13.1542225,0.64674735,0.893299654662272,18.014505,1.4319177e-11,0.10698617,2.2323238e-08
IMG_04_AWGN_1,84.3225955423216,39.138546,0.99684721654972,0.999844038257117,0.99966615,0.98016477,0.090834156,0.000309908,0.9374949,0.0018036962,0.01885405,0.98559326,0.5690773,0.6858119,0.999983542527953,7.8737736e-05,0.0005864789,0,0.02346085,42.52194,0.00018135973,0.999849151250556,0.00095612224,0.9553678,0.9234856,0.9144524
IMG_04_AWGN_2,69.0676736659542,27.172817,0.97098746078448,0.997809137843915,0.9948775,0.824877,0.44420385,0.004765511,0.9150686,0.028158367,0.0120830815,0.95935977,0.56781673,0.67560005,0.999687393214123,0.0050585866,0.008127042,24.8145855435347,0.09331535,30.562206,0.014511219,0.997682012577185,0.030875254,0.525963,0.8778329,0.819547
IMG_04_AWGN_3,46.381834322963,21.246922,0.912661958022942,0.99158694297152,0.98162144,0.6322684,1.0839312,0.020634532,0.6498758,0.092556,-0.0109769385,0.77899885,0.50766224,0.6564722,0.998592311556406,0.032357395,0.024501747,84.1757025427702,0.18094091,24.614231,0.10464369,0.991059951976179,0.19932662,0.48896682,0.7514093,0.5449851
IMG_04_AWGN_4,30.5039900439421,15.458874,0.767588585001763,0.9688715038052,0.93840253,0.41692722,2.7876592,0.086494006,0.42758754,0.21787393,-0.07429547,0.44524243,0.26814005,0.6125788,0.992495708856686,0.1295746,0.06354521,161.189666035492,0.3371793,18.813633,0.3912199,0.968940225769827,1.7792917,0.0015418314,0.5393942,0.08102335
IMG_04_AWGN_5,18.008717147507,11.16623,0.578894421439722,0.913787842262035,0.88774806,0.26868117,4.9932137,0.25565368,0.32963777,0.35556847,-0.12308885,0.047986835,-0.026889829,0.54279786,0.967361769162851,0.29758453,0.114274025,213.977156721648,0.52057505,14.573818,0.57664,0.939741150738886,10.7100525,2.3807638e-06,0.240944,6.83986e-05
IMG_04_AWGN_6,12.9473965391407,8.786439,0.482972646554345,0.849585044333412,0.834514,0.20855762,6.2662263,0.45609912,0.28855205,0.41566962,-0.1304544,0.0026198893,-0.15227616,0.45163077,0.922200268699556,0.4088574,0.14308041,243.946596371778,0.63650715,12.544118,0.63841367,0.916251445219959,25.750385,6.6580616e-11,0.10387122,1.6768443e-09
IMG_05_AWGN_1,72.4671502795243,39.07419,0.993087361595068,0.99906161725437,0.99943,0.9741878,0.10459795,0.0031254857,0.93502086,0.008859158,0.004835608,0.97595906,0.5907753,0.6074623,0.994869283911004,0.0005683899,0.0010670404,1.1216248126165,0.02988948,42.582596,0.004334719,0.999689245806046,0.002084838,0.99977535,0.9668414,0.9452582
IMG_05_AWGN_2,43.2131083741024,23.990738,0.879872154039383,0.98105947817465,0.9865345,0.7418101,0.8618785,0.10894074,0.7218724,0.111323595,-0.013037425,0.85923994,0.54486936,0.5661563,0.962114625537706,0.037544608,0.018790659,80.4227726821312,0.14485002,26.375355,0.19960988,0.99282110783073,0.5129406,0.52835673,0.84268475,0.7097766
IMG_05_AWGN_3,27.2498696891567,21.191345,0.784126561876525,0.960493571092939,0.9707644,0.60314155,1.393542,0.20421997,0.57900363,0.16783595,-0.035959188,0.6586738,0.4788764,0.5477072,0.953604657663076,0.093033195,0.042200666,108.944466316248,0.2073898,24.704086,0.37569988,0.983080288928156,1.4339489,0.5059146,0.7487736,0.58654
IMG_05_AWGN_4,22.1388537905778,15.417385,0.582051481619149,0.892764021597188,0.90661514,0.392141,2.835773,0.40642703,0.38856035,0.27604127,-0.079690985,0.32095277,0.40397024,0.49322748,0.928515766174693,0.25143838,0.11466702,157.258690455692,0.3580767,18.966679,0.6070016,0.946862312295954,4.435511,2.9203479e-08,0.461612,0.1106655
IMG_05_AWGN_5,13.9511262450182,9.309996,0.350332493192967,0.764069560229725,0.8014076,0.21561071,5.056196,0.6616671,0.28597483,0.43956625,-0.10892249,0.0031541279,0.24183483,0.42582217,0.854774954320021,0.4791845,0.1831072,200.029387114831,0.57371885,11.845516,0.7035129,0.892641462663311,17.215576,9.7122756e-17,0.11093239,2.430743e-07
IMG_05_AWGN_6,8.505455367437,8.580047,0.32753931968012,0.729736236507915,0.7650985,0.17899597,6.0883365,0.686046,0.2703549,0.47200388,-0.10989735,0.0011564415,0.19973426,0.4190638,0.82046633628001,0.53430486,0.1891144,222.028203952173,0.6224729,12.515839,0.72023475,0.876146265282494,23.267992,3.5389095e-19,0.072340876,2.0290618e-10
IMG_06_AWGN_1,84.4496818677967,39.0754,0.985087353813345,0.999291692073422,0.9993455,0.97924626,0.14499888,0.0011236202,0.9470828,0.0034160018,0.0128655955,0.98036695,0.4977573,0.62016994,0.999969378419096,0.00040251017,0.0012351903,15.6947541159965,0.028838877,42.55752,0.0026063956,0.999707660359933,0.0022940207,0.9997688,0.9831114,0.91662407
IMG_06_AWGN_2,63.9996063367856,27.067467,0.880685185548117,0.990713231708067,0.99010366,0.8242596,0.7466964,0.023977859,0.8007669,0.05070591,-0.0035511784,0.9285717,0.43147165,0.60053325,0.999514084449335,0.0087480545,0.016039148,96.1704016544688,0.10976286,30.56016,0.09822025,0.995383866783861,0.14632131,0.938343,0.95184815,0.7604934
IMG_06_AWGN_3,40.9667698083209,21.078297,0.735775747741529,0.969683641959992,0.96557647,0.63426304,1.6218325,0.08445366,0.5425847,0.11725074,-0.03654465,0.7166623,0.33151206,0.56870407,0.997809932508825,0.034130633,0.048838533,156.764559011787,0.20389733,24.587507,0.29006833,0.983012101163298,0.97319216,0.50489044,0.7245759,0.47803408
IMG_06_AWGN_4,22.9156246019719,15.116604,0.536908210128786,0.914036339889592,0.9026872,0.42881763,3.24808,0.23344092,0.3963637,0.24360979,-0.09777453,0.4388803,0.22954647,0.5013175,0.991740938587967,0.118000805,0.12195398,216.676178337838,0.36215243,18.621754,0.56140447,0.945936327141772,4.8336205,0.0002188238,0.3001081,0.18979661
IMG_06_AWGN_5,12.1503799686117,10.430002,0.373241438338128,0.826771241070718,0.81789094,0.28351358,5.3836713,0.4598182,0.30967057,0.41269702,-0.12630518,0.088449895,-0.009071757,0.43316224,0.969712787533217,0.2871455,0.2046776,262.548296602139,0.5497492,13.911547,0.6996444,0.889088079705835,20.661797,3.0475496e-07,0.08900017,0.000535464
IMG_06_AWGN_6,7.62807556392655,7.1778154,0.266341447792988,0.712115050494408,0.7299194,0.1880632,7.33415,0.69471407,0.25758782,0.5447352,-0.1320589,0.0012609162,-0.18364549,0.3698229,0.914815100759457,0.43350953,0.26040685,298.930337387287,0.7375199,10.679075,0.7433747,0.82677121103337,71.73763,1.3179778e-18,0.029694302,4.0293935e-11
IMG_07_AWGN_1,74.0979298146387,38.92679,0.993230716312765,0.999211617097012,0.9993541,0.9780677,0.09755511,0.0022891718,0.9259867,0.004498899,0.0062974156,0.9666714,0.569127,0.5539933,0.999914665916912,0.00040775537,0.0009908562,9.98708364984054,0.029104678,42.413124,0.0021736762,0.999709950173011,0.0030761617,0.9755097,0.9680604,0.90956736
IMG_07_AWGN_2,48.2401212730554,26.888554,0.921819574852616,0.989842548000393,0.99015653,0.8070138,0.55162233,0.06271091,0.8029223,0.07305658,-0.007404815,0.9137127,0.44352156,0.5342257,0.998914645834359,0.015696526,0.011952977,82.4182163333048,0.112241805,30.377884,0.13584521,0.995630938048899,0.13307863,0.5761624,0.91625404,0.7350094
IMG_07_AWGN_3,30.3547732514169,20.874739,0.776655144112273,0.964102931952485,0.9654748,0.59788835,1.2903494,0.20171621,0.55800897,0.16161734,-0.03670153,0.67920685,0.33315322,0.5024886,0.995364641493808,0.06573677,0.038964797,130.339039677078,0.21105295,24.37399,0.36482304,0.983357458007751,0.8907069,0.48001736,0.7132105,0.534685
IMG_07_AWGN_4,20.4475210295168,14.903376,0.535735396241924,0.892453312714627,0.8954091,0.37890795,2.8660097,0.3955098,0.38769847,0.2937318,-0.0897352,0.38697433,0.25368515,0.45632902,0.983093294461214,0.2013874,0.10396991,177.114581422366,0.37467417,18.393005,0.57994986,0.942838895319647,5.499505,5.8130176e-05,0.33877042,0.1844328
IMG_07_AWGN_5,11.2340986121817,10.354768,0.337896962277581,0.779687700608828,0.80670035,0.23447073,4.8412967,0.5791231,0.29763424,0.43196452,-0.118599504,0.061924063,0.11072781,0.42546758,0.946202164095272,0.3794288,0.17981456,217.3710773562,0.5632296,13.86721,0.65709925,0.88395149995903,21.016914,5.712155e-10,0.14508669,0.00016526529
IMG_07_AWGN_6,6.45563853264651,7.6472254,0.246862688402732,0.666014089391544,0.7332033,0.15838252,6.2473845,0.7059393,0.26195377,0.52208763,-0.12065024,0.0017637694,0.05016302,0.38482854,0.859628943593058,0.5044631,0.22560698,247.430839126625,0.7141344,11.307718,0.6919502,0.84411146158458,44.901676,2.0948482e-26,0.06732318,1.2031612e-10
IMG_08_AWGN_1,74.8417740219678,38.942028,0.993019399055337,0.999151921949311,0.99928063,0.9774851,0.12303833,0.0028277594,0.9344553,0.005393505,0.006775564,0.96717596,0.59194916,0.60403067,0.999781373658436,0.00121212,0.0010081123,14.7388060209365,0.02965149,42.4516,0.0032095495,0.999689717973598,0.0030163713,0.9989305,0.9306634,0.905272
IMG_08_AWGN_2,52.0989354764062,26.91286,0.919170116233911,0.988981721481164,0.9889464,0.8072531,0.65823084,0.070905656,0.7876945,0.08591521,-0.010648636,0.9347062,0.44316188,0.5791077,0.996931030757605,0.04022771,0.01263167,96.3368338051121,0.11403325,30.399706,0.15116349,0.995244259311303,0.1778792,0.97660375,0.87065595,0.7653193
IMG_08_AWGN_3,31.5666448273515,20.910088,0.7719268802197,0.961834275840117,0.96154493,0.5991699,1.5130036,0.218664,0.5344268,0.19386715,-0.043121196,0.7486069,0.2796549,0.53847605,0.988565277521406,0.14249504,0.041462794,144.155252043974,0.21290557,24.40166,0.39422265,0.982111888558445,1.0588586,0.51237917,0.69631374,0.5549846
IMG_08_AWGN_4,22.3216974741779,14.984294,0.533111666267777,0.885751468552531,0.88862777,0.38181114,3.3410816,0.44091967,0.3789699,0.30772585,-0.09705784,0.39425805,0.18961559,0.48110983,0.964210868245009,0.31492442,0.109974965,188.031044854646,0.37721097,18.4436,0.60504675,0.941780666937373,5.44602,0.010447846,0.40603766,0.2582663
IMG_08_AWGN_5,21.8792355794431,10.600552,0.342202607471217,0.764737442115192,0.79015505,0.23997808,5.231359,0.64579284,0.30129966,0.43070698,-0.12204232,0.059754178,0.06665528,0.44423178,0.90737763563523,0.49885136,0.18699655,224.003046023003,0.5632918,14.0022335,0.66613483,0.885784560866318,18.180454,1.5632651e-09,0.21790172,0.00083546713
IMG_08_AWGN_6,5.47611663285254,8.05836,0.253239104462516,0.651595683169233,0.7107646,0.16303714,6.483852,0.74491686,0.26798606,0.5042567,-0.12612458,0.0025998137,0.0134999,0.39954042,0.822447491565629,0.59572095,0.23393919,248.54058847683,0.71043086,11.440678,0.68966913,0.844232303518753,36.9795,2.2452281e-23,0.100714654,7.55636e-09
IMG_09_AWGN_1,87.6885611821291,38.924423,0.990637621157969,0.998995535192306,0.9993402,0.97714895,0.108742096,0.002022784,0.9396765,0.005918622,0.009999381,0.9799929,0.55044293,0.6132687,0.99984984531029,0.00083112717,0.0011400497,12.177072392627,0.030901639,42.430496,0.0031856908,0.999699157863927,0.002316987,0.9999925,0.9798156,0.9203559
IMG_09_AWGN_2,48.6417903986897,26.884876,0.890836663600307,0.987245449673554,0.9895495,0.8206962,0.7980347,0.048069965,0.76265174,0.08697903,-0.013206633,0.83031356,0.39376792,0.5852712,0.998166699309792,0.027700484,0.015421309,113.15752637381,0.114975005,30.372444,0.15330002,0.994944963847797,0.21296304,0.98382485,0.9092238,0.6121472
IMG_09_AWGN_3,31.8432142321123,20.87851,0.709351924144976,0.958052835154196,0.96043843,0.6298315,2.0570133,0.14393355,0.51227146,0.17397982,-0.058707196,0.5659297,0.29013157,0.54666275,0.993929075859925,0.096422195,0.053815283,173.917770996025,0.20959485,24.365528,0.38223928,0.980017696178755,1.44154,0.5072101,0.5496401,0.2953917
IMG_09_AWGN_4,25.8021760905585,15.150854,0.463868716970753,0.884541641554396,0.88667285,0.42044944,4.3624663,0.3241333,0.3733725,0.29646552,-0.10530579,0.30628872,0.12489011,0.4802408,0.977558488482396,0.2598167,0.14422841,221.446747761062,0.36542892,18.488619,0.6058745,0.93214452140232,6.8065753,1.3867138e-07,0.2239937,0.08807893
IMG_09_AWGN_5,12.8588257343149,11.674075,0.331614460230883,0.801827340499435,0.81183505,0.28540698,6.5721016,0.53805476,0.30445805,0.41933858,-0.123485304,0.096565805,-0.07333473,0.41966173,0.936197673148661,0.43903118,0.21824841,247.060979108301,0.5256796,14.817226,0.69156575,0.887067537030885,21.22786,2.6871138000000003e-16,0.17005816,0.0033680287
IMG_09_AWGN_6,9.41302830548412,9.8675995,0.271044627779752,0.73840980545835,0.7636781,0.20649602,7.5230036,0.6863597,0.27412754,0.4908759,-0.12631734,0.01695351,-0.17763858,0.3566459,0.87751806472511,0.5508062,0.22827764,261.855023957823,0.623263,13.077441,0.697888,0.861421896636533,39.117176,2.8284743e-23,0.14280368,1.2798564e-05
IMG_10_AWGN_1,82.4836972762247,38.951725,0.988184384433033,0.99839405903423,0.9971656,0.9699917,0.11253829,0.007222071,0.9289975,0.011812568,-0.00029931267,0.9747713,0.56976485,0.5523337,0.982980509526004,0.0005955696,0.0012542465,0,0.033183854,42.45995,0.0027883835,0.99968209568417,0.0029661637,0.94538766,0.95687246,0.9159681
IMG_10_AWGN_2,53.8568694580232,26.92289,0.868580798611426,0.979931207473598,0.9658536,0.8218313,0.82326186,0.12244853,0.733077,0.09219253,-0.021441236,0.8542034,0.5203518,0.5249674,0.904883192596025,0.020622313,0.020240195,0,0.12215289,30.41629,0.13947429,0.994162041406218,0.45136598,0.5107865,0.9212411,0.47953168
IMG_10_AWGN_3,34.3579124707972,20.93029,0.663362474145844,0.933332416641309,0.9159248,0.6421508,1.9367034,0.2863511,0.5157782,0.18153548,-0.04371892,0.41041362,0.42780915,0.49246296,0.846919027920685,0.070725024,0.069153994,0,0.22104579,24.423883,0.3743745,0.977529548587208,3.355579,0.13529195,0.6923954,0.23076265
IMG_10_AWGN_4,21.2630583904411,15.460576,0.413660545885432,0.81477946893554,0.8031464,0.4502414,3.723,0.4887097,0.3667426,0.32626706,-0.07531069,0.25017095,0.28317103,0.43344766,0.776506085657357,0.1973728,0.18124677,0,0.3897031,18.538706,0.56445634,0.923408429350037,8.727823,9.784505e-11,0.31756178,0.06752884
IMG_10_AWGN_5,15.7123783434301,11.326789,0.277354201367262,0.678532238408409,0.67365247,0.3132592,6.119336,0.67715895,0.2920887,0.4525199,-0.09555267,0.10264664,0.08266151,0.40090472,0.7067190594164,0.37271625,0.27223232,0,0.57195306,14.151993,0.6739017,0.849961260931674,20.21314,2.8803197e-19,0.21062896,0.0030322615
IMG_10_AWGN_6,8.18435157497308,9.477936,0.222262516303684,0.627603028588424,0.62306225,0.2268762,7.3586535,0.79541856,0.27179804,0.51740867,-0.10076599,0.038964864,-0.037101723,0.38048267,0.637835757239195,0.51974833,0.26680756,0,0.636691,12.638268,0.69758487,0.822065583379248,34.78778,3.3775554e-29,0.15106623,1.4848404e-05
IMG_11_AWGN_1,85.4182586254045,38.922733,0.962043242284588,0.998079365416745,0.99865884,0.9625233,0.15133202,0.004668972,0.9489314,0.01739633,0.0028574148,0.9669953,0.43212172,0.56384593,0.991129764885641,0.0046004057,0.0013735312,29.0300327926588,0.036096767,42.428745,0.0073587145,0.999634558126508,0.003504225,0.8131386,0.8825716,0.8846382
IMG_11_AWGN_2,55.4021323116947,26.88638,0.780178221057943,0.975904022106238,0.9748508,0.7981397,1.0241098,0.07564542,0.7391799,0.08844727,-0.027804704,0.8304364,0.30112728,0.5381301,0.945942646635074,0.058970153,0.020710196,151.515720583249,0.13247879,30.37897,0.19318128,0.993162691217133,0.43640542,0.43514425,0.68381494,0.74166185
IMG_11_AWGN_3,39.9351995146333,20.944832,0.538910692651704,0.920974452561899,0.9172355,0.5972983,2.373366,0.22848164,0.53439903,0.16613245,-0.0562188,0.47400966,0.15672876,0.5034761,0.894498390193661,0.1365748,0.067300275,207.121062342504,0.237675,24.439037,0.39930904,0.973097576790768,3.0845423,0.02327601,0.329449,0.46141604
IMG_11_AWGN_4,32.0826135704165,15.171427,0.28649455780328,0.793115389079689,0.79258776,0.4005086,3.8895566,0.45857272,0.39301962,0.27756453,-0.089698836,0.1940696,-0.05464805,0.47542587,0.822383277491738,0.26254994,0.1669098,249.66576999192,0.40256065,18.601067,0.6090542,0.913412094820137,8.647698,1.0900399e-11,0.11734267,0.4071807
IMG_11_AWGN_5,18.4858177580166,11.046724,0.156439993324678,0.620844155201741,0.6341177,0.25889748,5.504559,0.7201205,0.3135717,0.39910436,-0.10196871,0.05157949,-0.24498534,0.46492106,0.730118149975925,0.42309207,0.26327518,279.406880013635,0.6074796,13.946076,0.7280668,0.818559468608031,23.42458,2.2766857e-20,0.04895415,0.20470397
IMG_11_AWGN_6,9.3288748413201,8.11753,0.117995192893477,0.511898612494444,0.5414902,0.1940339,7.2035737,0.91667855,0.27230898,0.49097443,-0.10656233,0.010850756,-0.3551846,0.43059158,0.642296882853963,0.53574383,0.29874748,304.504139664639,0.74986094,11.139177,0.7723136,0.738782710020902,46.59339,3.4419876e-31,0.10402948,0.002751534
IMG_12_AWGN_1,81.8838884295305,38.928555,0.985561573413218,0.998724495622302,0.99893385,0.97134554,0.06879943,0.02499978,0.94115156,0.01885891,-0.0022398497,0.95657915,0.5258929,0.6021636,0.999392035775896,0.004484713,0.0012445375,14.4058120237323,0.033929367,42.430313,0.025054459,0.999632303158667,0.0073232832,0.99700135,0.9619898,0.91765827
IMG_12_AWGN_2,52.885898641747,26.932869,0.850759883443285,0.983137551498552,0.9836281,0.7923636,0.86919177,0.17938642,0.75939566,0.1072281,-0.01645692,0.80937064,0.28438017,0.5873514,0.995247960549126,0.054745257,0.014761034,114.958776187049,0.12570252,30.435974,0.30072302,0.994358492224149,0.5956551,0.6581822,0.8701859,0.7316817
IMG_12_AWGN_3,31.8546809450299,21.077053,0.63302209347348,0.944523410131601,0.9422918,0.5851458,2.04969,0.38471466,0.5520613,0.1871373,-0.038683727,0.51692504,0.16928439,0.55225277,0.984260005147068,0.13685948,0.048149887,162.726634130123,0.22780387,24.58212,0.52940804,0.979975762636466,2.848775,0.4425126,0.5292246,0.50029075
IMG_12_AWGN_4,27.287879921885,15.466533,0.387027471388722,0.854627830144788,0.83835125,0.38968033,4.143912,0.5966653,0.41775393,0.2745083,-0.076598726,0.23621383,0.05014938,0.47975895,0.952380257275459,0.25748217,0.12338187,202.073780096384,0.3851189,18.96567,0.7174253,0.940875076006607,6.941796,2.611719e-06,0.138426,0.065563045
IMG_12_AWGN_5,17.5149567173457,11.370572,0.272722738235584,0.753704391628628,0.72287047,0.27018613,6.0381155,0.7280252,0.33253098,0.36585534,-0.09311748,0.06705082,-0.0793445,0.4337858,0.898119499188477,0.38902313,0.19770043,232.15904429068,0.5420531,14.864551,0.7905665,0.890340369089571,14.372117,9.8819024e-18,0.066169284,1.1610088e-05
IMG_12_AWGN_6,10.1290959325931,9.273132,0.24027555714492,0.687764482066265,0.65444034,0.21911542,6.912384,0.80468553,0.29314822,0.42662394,-0.09232348,0.014261125,-0.14227472,0.40114424,0.840198734149895,0.4726988,0.23626511,249.356992525547,0.6386889,12.79215,0.8092502,0.851295490534195,23.781118,9.818494999999999e-29,0.0338682,1.5727726e-09
IMG_13_AWGN_1,80.6814484740556,38.92228,0.980062113661528,0.997445377277131,0.9986499,0.95575494,0.1787999,0.010519547,0.9343704,0.018947542,-0.003364744,0.93680584,0.45610437,0.53585374,0.993504466217323,0.005896747,0.0013154716,3.07405873509823,0.037364505,42.42275,0.0055252844,0.999504766044948,0.0038189986,0.9418934,0.97586334,0.9558327
IMG_13_AWGN_2,48.1669082799143,26.881393,0.790234646189896,0.968881491235172,0.9789081,0.7158966,1.095634,0.20138831,0.73184186,0.21072859,-0.01355827,0.85379076,0.3375612,0.53738046,0.942654238659928,0.14980257,0.017124912,47.0819097315277,0.1386684,30.392553,0.19865063,0.99207166984513,0.44792682,0.83169246,0.9382467,0.89236057
IMG_13_AWGN_3,31.2005726501527,20.860968,0.492697128705587,0.899581982299701,0.92265755,0.47131956,2.311353,0.48724478,0.49646467,0.37613195,-0.032618817,0.5562491,0.23099212,0.5308138,0.864275437122323,0.3525867,0.05842905,77.418785178665,0.25072068,24.350872,0.4247707,0.969016312984735,2.8952842,0.48645392,0.43440828,0.5135134
